NewOrtho 	UttGloss 	Spanish 	English 	Note 	File 
na ko birá ju biré ta towí ta kochí sí a'rí ta rimó		‘Este es un niño y un perrito y un sapo’	'This is a boy and a dog and a toad'		tx191[00_181-00_225].wav
nári kúchi kúruwi birá kochiká bitíil ta kochí yúa we birá kaníram níla okuáka		‘Estos niños estaban dormidos con el perrito, se querían mucho ellos dos’	'These children were asleep with the dog, those two loved each other very much'		tx191[00_225-00_280].wav
a'rí chijónsa rimóko nawári		‘Y entonces el sapo llegó’	'and then the toad arrived'		tx191[00_280-00_299].wav
a'rí pachána botéyachi bakíri		‘Y entró adentro de la botella’	'and it went into the bottle'		tx191[00_299-00_319].wav
a'rín...kut kúruwi ta kochí sí		‘Y entonces el niño y el perrito’	'and so the child and the dog'		tx191[00_319-00_345].wav
ne majáka mochísiri je láli, “píri yéna?” a'rí ma ku másiri ta rimó ko ma ke itéeri		‘Se levantaron asustados, pensaron “qué andará?”’ ‘Y ya se arrancó el sapo y ya no estaba’	'they got up in fright, and thought "What might that be?" 'And the frog had already pulled himself out and wasn't there anymore'		tx191[00_345-00_396].wav
a'rí...a'rí chijónsa ko we birá sapú tikíinka uchútiri áaba		‘Y entonces se bajaron rápido para buscarlo’	'and then they quickly went down to search for him'		tx191[00_396-00_467].wav
bóotechi chukúr ta kochí ko 'áa		‘Y el perrito lo anda buscando en el bote’	'and the dog goes searching for him in the jar'		tx191[00_467-00_492].wav
ta botéyachi ápo na chukúri ta rimó		‘En la botella donde esta el sapito’	'in the bottle where the frog was'		tx191[00_492-00_518].wav
pachána atikó mayéa		‘Pensando que estaba adentro’	'thinking that the frog was inside'		tx191[00_540-00_560].wav
a'rí ma ará bentáanchi uchú je láa..		‘Y estaban en la ventana pensando’	'and they were in the window thinking'		tx191[00_560-00_587].wav
jé láal ku machíniro mayéa		‘Pensando qué se había salido’	'Thinking that he had left'		tx191[00_587-01_007].wav
áa birá chukúriri ba a'ri túku na wichíl ta towí ko we majáam wiríari		‘Lo andaban buscando y el perrito se cayó para abajo y el niño se quedó muy asustado’	'they went searching and the dog fell down and the boy was very scared'		tx191[01_081-01_123].wav
a'rí we sapú rikíinka ku chapíri		‘Y se bajó pronto para agarrarlo’	'he quickly went down to grab him'		tx191[01_123-01_143].wav
a'rí ta kochí ko pe ke namú ke chíbi kíri áa		‘Y al perrito no le pasó nada’	'and nothing happened to the dog'		tx191[01_143-01_182].wav
a'rí ma ará pe ka'é...ma ará siméari ásia		‘Y luego se fueron más allá a buscarlo (al sapito)’	'and then they went farther out to search for him (the frog)'		tx191[01_182-01_231].wav
a'rí chijónsa		‘Y entonces’	'and then'		tx191[01_288-01_316].wav
siméali cho'mí a'rí chijónsa riwári ripá ta...ta kapórami chukúam ne birá niyúrka sebániri ba ko'ára mayéri aré ta towí ko we rik...		‘Se fueron para allá’ ‘Y entonces vió algo que estaba arriba colgado como una bola y lo quería alcanzar a fuerzas’ ‘Pensó que era comida’	'they went over there' 'and then the dog saw something that was hanging up like a ball and he just had to reach for it' 'He thought it was food'		tx191[01_316-01_427].wav
biré iwákichi riwári we riká chukúri ku áa		‘Y el niño... halló un hoyo y estaba buscándolo’	'and the boy...found a hole and was searching in it'		tx191[01_427-01_464].wav
a'rí ma ará machíniri biré ta rimó ri'réri		‘Y luego salió un sapo de abajo’	'and then a toad came out from below'		tx191[01_464-01_495].wav
ta kochí ko we á birá riká chukúriri nári korimén rikibúa ba		‘Y el perrito ahí estaba queriendo bajar las abejas’	'and the dog was there trying to get the bees down'		tx191[01_520-01_567].wav
a'rí ma ará riká banaká páro má rína ko pe sis...ne ará náusia m...si buyásiri siorí		‘Y ya al rato lo tiró ‘Bien...se salieron las moscas también’	'and after a little while he got it down' 'the flies came out too'		tx191[01_567-02_047].wav
a'rí chijónsa ta towí ko riwári biré ta jótami ripá okóriri		‘Y entonces el niño vio un hoyo arriba en el árbol’	'and then the boy saw a hole up in the tree'		tx191[02_047-02_092].wav
a'rí chijónsa ma ará ku na inára chukúri a'rí ti rutúkuri ko chomí á mári		‘Entonces ya venía caminando’ ‘Y el tecolote también iba para allá’	'then he started walking' 'and the owl also went along'		tx191[02_321-02_394].wav
a'rí nári we ti ripá ritériri móka		‘Y luego subiendo arriba de una piedra’	'and then climbing on top of a rock'		tx191[02_394-02_444].wav
a'rí ta kochí ko kiríi ku majáam ináro		‘Y el perrito venía despacito asustado’	'and the dog came slowly, frightened'		tx191[02_483-02_518].wav
nári koriméni i'kísa		‘Porque lo mordieron las abejas’	'because the bees bit him'		tx191[02_518-02_557].wav
a'rí chijónsa we birá risóati ináriri es ta ko...ikísua ba		‘Entonces venía muy triste porque lo habían mordido’	'so he came all sad becuase they had bitten him'		tx191[02_557-03_013].wav
a'rí ke ayó ke sayétika biré nári chimorí nawári		‘Y luego al ratito de repente llegó un venado’	'and then all of the sudden came a deer'		tx191[03_013-03_057].wav
a'rí nári		‘Y luego’	'and then'		tx191[03_057-03_094].wav
i nári awáchi...rikaká tóol ta towí ne majáam nári es ta towí ko a'rí es ta kochí ko we birá riká mári á u'írsia nikésia ba		‘Y luego lo llevó acostado arriba en los cuernos al niño’ ‘El niño iba muy asustado y el perrito iba ayudándole ladrando’	'and then it carried the boy on top of his horns' 'the boy was very scared and the dog went along helping him by barking'		tx191[03_094-03_179].wav
a'rí túkna na		‘Y luego abajo’	'and then down below'		tx191[03_179-03_218].wav
á bél ri'ré		‘Abajo’	'down below'		tx191[03_266-03_322].wav
á bel ri'ré ba'wéchi ku rujíri kúchi kúruwi ko ba ta kochí á sí okuánika napabúa ba		‘Y se cayeron hasta abajo en el agua los niños, con el perrito también, los dos juntos’	'and the children fell down into the water, with the dog too, the two together'		tx191[03_322-03_376].wav
a'rí ma re'ré mochíri a'rí ko		‘Y luego ya se estuvieron ahí abajo’	'and then they were there down below'		tx191[03_412-03_443].wav
ku mochíska uchúro okuánika a'rí je an...na riwári che cho biré komichí je		‘Y ya se estuvieron ahí levantados los dos’ ‘Y luego vieron otro arroyo en otra parte’	'and the two were standing there' 'and then they saw another stream in another area'		tx191[03_443-03_491].wav
ta kochí sí á okuáka á riwári, je lári: “píri ju aré échi na”, je aníiri		‘Y el perrito, los dos vieron’ ‘Y dijeron “qué será eso?”’	'and the dog, the two saw' 'and they said "what could that be?"'		tx191[03_491-03_536].wav
a'rí je anéli ta towí ko: “kíti...kíti me...nári chiríuka simí kirí isimí píri uchú í” je anéri		‘Y entonces el niño le dijo al perrito: “vente despacito sin hacer ruido, qué hay aquí?”	'and the boy said to the dog: "come slowly without making noise, what do we have here?"'		tx191[03_536-04_021].wav
a'rí ripáa...ta ta kutémchiri jímiri ta kochí á si ta towí kiríi ke biré sayétika uchúri chomí		‘Y se subieron despacito arriba de un troncón el niño y el perrito, se subieron sin hacer ruido ahí para que no los sintieran’	'and the boy and the dog climbed slowly onto a log, they got on without making noise so that they wouldn't sense them'		tx191[04_021-04_092].wav
a'rí ke ayóko ne wiká buyásiri kut tanáara		‘Y luego al rato fueron saliendo los chiquitos, los hijos’	'and then a little while later the little ones, the children, came out'		tx191[04_215-04_247].wav
a'rí ne majáari es kúchi kochí ko		‘Y se asustaron los perritos’	'and they scared the dogs'		tx191[04_247-04_269].wav
ta rijóo ta towí sí		‘El hombre y el niño también’	'and the man and the boy too'		tx191[04_269-04_290].wav
ne birá majáaro ba ne chiki buyáachi rimó ba		‘Se asustaron mucho porque salieron muchos sapos’	'they got really scared because so many toads came out'		tx191[04_290-04_335].wav
a'rí kúchi rimó ko we birá na niwímamti bíri ba sinéam bél ripá kutémchiri jímiri ba		‘Y los sapos se quedaron muy tristes’ ‘Todos se subieron arriba del palo’	'and the toads were very sad' 'They all climbed up onto the log'		tx191[04_411-04_470].wav
muchúi		estamos (sentadas)	we're sitting		tx221[00_170-00_176].wav
ra'ichábo		vamos a hablar	we'll talk		tx221[00_205-00_218].wav
jum...nári mukí riwéami chikáka jítara		hum ... [vamos a hablar] de una mujer que se llamaba chikaka	hum... [we'll talk] about a woman called chikaka		tx221[00_247-00_292].wav
este ná ko náa... chabé birá náa...bitéri biré mukí...chiká riwéami		‘antes había una mujer que se llamaba Chiká (ardilla de las tincheras)’	'There used to be a woman who was called Chiká (squirrel of the trenches)'		tx221[00_330-00_445].wav
a'rí échi mukí ko we birá wiká namúti rú ba ki'áwam níram pa		‘esta mujer platicó muchas cosas porque era una mujer muy antigua’	'this woman discussed many things because she was a very elderly woman'		tx221[00_445-00_507].wav
náa...anikú birá natibúa ruá na'í jaré bo'náka		‘aqui se encontraban unos, salían de los dos lados de la otra banda’	'here a few of them met, they came from the two sides of the other side of the river'		tx221[01_021-01_110].wav
a'rí jémi ka'óni ipó birá náa...		‘y aqui arriba en el llano’	'and up here in the plain'		tx221[01_140-01_172].wav
birá...náa ripáka rabó asáa rú naká juráriam ko ru		‘ella veía desde allá de arriba del cerro, que la mandaban’	'she was watching from on top of the hill there, as they ordered her to go'		tx221[01_219-01_281].wav
e'wéniri náa júra ré		‘la mandaban los papás’	'her parents ordered her to go'		tx221[01_281-01_310].wav
ám tu komíchi piréa ru lína		‘vivían por el arroyo abajo’	'they lived near the stream down below'		tx221[01_310-01_334].wav
ke me wiká rijóora ruá chabé na'í ko péem...mo be megá rijóora ruá		‘que casi no vivía gente, vivían pero muy retirados’	'where hardly any people lived, people lived there but very isolated'		tx221[01_334-01_384].wav
pe...pe ke biré kariráka pe tekóka		‘no tenían casa, tenían trincheras de casa’	'they didn't have houses, they had trenches for houses'		tx221[01_384-01_423].wav
ripá bo'náka chakéna kóm ría aní we miká rijóo		‘dice que por el cerro de la otra banda que vivían muy lejos’	'they say that around the hill on the other side of the river they lived very far'		tx221[01_423-01_457].wav
a'rí birá náa...échi ko...téeri mukí ma ka riké táa...táa mukí		‘y esa mujer era muy chaparrita’	'and that woman was very short'		tx221[01_457-01_535].wav
a'rí ma' we wiráami a'rí na tamí birám ba ruwéa aní		‘y bastante anciana y a mi me platicó’	and she was pretty old and she told me'		tx221[01_535-01_577].wav
pe birá chabóchi níri ré pa píri ko (pe birá)		‘pues yo creo serían chabochis’	'well I think they must have been mestizos'		tx221[02_092-02_124].wav
anikú birá isimára ruá		‘que se pasaban a los dos lados’	'who came from both sides'		tx221[02_124-02_145].wav
jaré jémi kaéemi		‘unos para allá (rumbo para Creel)’	'some from over there (towards Creel)		tx221[02_145-02_164].wav
a'rí je jaré ko jémi kausíka na		‘y unos para allá (rumbo a Norogachi)’	'and some from over there (towards Norogachi)'		tx221[02_164-02_183].wav
ke pirá machío riá áchi na usuwíri á usuwíri ré ko a usuwíri...aparí ma riwisá ko ma nakósio		‘no sabía si se mataban, cuando ya veía que se peleaban...’	'she didn't know if they would kill each other, when she saw them fighting'		tx221[02_279-02_351].wav
ku ruyéam ku ru ne warína úma rutúk...tuk...tu jémi tu komíchi ku a'rí náa		‘se iba encarrerada, corriendo recio por el arroyo abajo’	'she made a beeline for it, running hard along the lower stream'		tx221[02_411-02_474].wav
a'rí birá ke biré namúti bukéka muchúaro ke biré kochí		‘y dice que vivían sin tener ni un perro’	'and she says they lived without even one dog'		tx221[03_006-03_068].wav
náa...je birá anía rúa échi ochérami ki'áwam pa		‘que decían los antiguos’	'the elders say'		tx221[03_086-03_121].wav
torí ti bi...bukéami uchísa kochí ma ni...nikása torí ko kusuméa re a'rí		‘que si tenían gallina o perros podían oir el canto del gallo o el ladrido del perro’	'that if they had chickens or dogs they could have heard the crow of the rooster or the bark of the dog'		tx221[03_121-03_178].wav
a'rí birá ke namúti bukéa ru ba		‘que por eso no tenían nada de animales’	'that's why they had no animals at all'		tx221[03_238-03_264].wav
ma birá ke machío ruá birá rit..ritéo ru  na á nakóa uchúam jem...jemi náa ápi natibúro ba		‘y ya de ahí ella no sabía nada pero sí veía que se agarraban a pelear cuando se juntaban	'and once in there she didn't know anything but she could see them start to fight when they got together'		tx221[03_349-03_433].wav
a'rí choná ko na chu ko riká níri ma birá ke ná		‘y ya de ahí yo no se’	'and from there I don't know'		tx221[03_433-03_508].wav
pe pe tarári ma ku iyénto ru je ripáki rabó já néna (we pi) ke pirá namúti itiréra ruá		‘cuando ya se pasaba una semana se venían a ver a los cerros’ ‘pero ya no había nada’	'once a week had passed they came to see the hills' 'but there was nothing there anymore'		tx221[03_508-03_575].wav
ne i'wéri ipiréa ruá á birá anikúpi á ra'néa ra'néra aré á ba		‘hallaban grandes a los dos lados, porque se tiraban balazos a los dos lados’	'they found big ones from both sides, because both sides shot bullets at each other'		tx221[04_087-04_130].wav
a'rí birá náa échi aní es ta mukí ko ba		‘pues así platicó la mujer’	'so that's what the woman said'		tx221[04_130-04_180].wav
nári Pancho Villa birá m ané ané á birá isimítira ruá jé mi ru m anía birá aní échi riwéami kum ría aní		‘pues ella dice que era Pancho Villa porque así oyó decir que sabía que pasaba por este lugar’	'well she says it was Pancho Villa because she heard talk about it, that she knew he would pass through this place'		tx221[04_180-04_262].wav
wiká úa inára ruá wiká, wiká m anía aní ne wiká ku chabóchi ápu úa yéni ba		‘que traía mucha gente, bastante gente mestiza que andaba con él, dice ella’	'who brought many people, quite a few mestizos who came with him, she says'		tx221[04_262-04_326].wav
ke machíaro biré pe biré machíaro ru Pancho Villa ku ría ba		‘ella no sabía quienes eran los otros, pero de unos sí sabía que eran de Pancho Villa’	'she didn't know who the others were, but some of them were known to be with Pancho Villa'		tx221[04_359-04_399].wav
a'rí échi jaréara ko kuá birá níri ke birá machío riá échi ko ba		‘de los otros no sabía’	'of the others, no one knew'		tx221[04_399-04_440].wav
pe anikúpi bér á nakósia ruá ba natibúsa ba aní		‘se agarraban nomás a pelear cuando se encontraban’	'they would just start fighting when they met'		tx221[04_440-04_477].wav
kabáyochi na éna ruá jaré ko pe wichí jáa		‘unos venían a caballo y otros a pie’	'some came on horses and others on foot'		tx221[04_477-04_515].wav
ki'áwam birá níri es ta wirámi		‘esta mujer fue de mucho antes’	'that woman is from a long time ago'		tx221[05_026-05_048].wav
es ta wiráame mukí ko ba ma birá chabée nosowí cho na échi chíri ra'ichása ba		‘pues esta mujer ya tiene tiempo que murió pero platicó toda esta historia’	'well it's been some time since that woman died but she told this whole story'		tx221[05_048-05_111].wav
bueno		bueno	alright		tx223[00_000-00_015].wav
jace como cien años		hace como cien años	it was like a hundred years ago		tx223[00_187-00_208].wav
jum...nári...chabé birá ... ki'i...chabé pe chabé a ke aparí ne nawári na'í		‘hace bastante, cuando yo llegué aqui’	'it was a while ago, when I arrived here'		tx223[00_221-00_337].wav
we birá ra'icháchani ri'ríri komíchi kabáyo sírchani ma ne wiká pe aníchani wiká sírchana		‘oí hablar muchas personas, la voz de muchas personas de abajo para arriba en el arroyo, se oían pasos de caballos, como que se oían venir muchas personas’	I heard many people talking, the voice of many people down below in the creek, you could hear the steps of horses, it sounded like many people coming'		tx223[00_432-00_504].wav
a'rí kabayo ko machiná birá né anéchana nári akéami níchani kabayo ko		‘bien clarito se oía la herradura del caballo’	'and very clearly you could hear the horshoes'		tx223[00_588-01_058].wav
na rapichíki birá we ará aníchani aminába a murípi aníschin á ri'ríri komíchi		‘en la laja también se escuchaba muy bien y entre más, más acá se oía el ruido por el camino’	'on the slab also you could hear very well and even more you could hear the noise on the path'		tx223[01_058-01_114].wav
nári ke piré..ka'é sikachí piréame síri ré máo ri'ríri, je ni ráam pa		‘pensé que venían personas de Sikachique’	'I thought people from Sikachique were coming'		tx223[01_188-01_244].wav
kúmi rína na simárta ba je birá nirá wirí murípi pe ra aníchini ba		‘a ver para donde pasaban porque se escuchaban más cerca’	'to see where they were going because they sounded closer'		tx223[01_373-01_411].wav
a'rí wirí birána wirí chonána ka ke pi kasé simárpo á ma ke ayóko ma ke m aniká ikía achaní		‘estuve buen rato para ver por dónde pasaban y al ratito ya no se escuchó nada’	'I was there for a quite while to watch where they were headed to and after a little while you didn't hear anything anymore'		tx223[01_411-01_481].wav
ne sinépam chowiká ikíachani a'rí chiráachano kúm wirín...norínra ra ba		‘y de repente ya no se escuchó nada y pensé a ver por donde salen’	'suddenly you didn't hear anything anymore and I thought I'd go see where they come out from'		tx223[01_481-01_535].wav
a'rí ma...ma bitichí ni ku nawása ko je birá n aní bitichí náa		‘ya cuando llegué a la casa les platiqué’	'once I got home I told them'		tx223[01_563-02_012].wav
ma birá n ará majáarta túna komíchi ba je birá n aní pa		‘ya me asustaron por el arroyo abajo”, dije’	"They scared me down by the creek", I said'		tx223[02_012-02_047].wav
a'rí...tamí birá je anéri ta ..ta wiráami		‘y entonces me dijo la viejita’	'and so the old lady told me'		tx223[02_047-02_086].wav
kíni wasí ko ba		‘mi suegra’	'my mother-in-law'		tx223[02_086-02_108].wav
a'rí kíni apanériri sí'i		‘y a mi esposo también’	'and my husband as well'		tx223[02_108-02_130].wav
je birá m anía aníwi		‘pues ellos me dijeron’	'so they told me'		tx223[02_130-02_150].wav
chu'wí choná risochí aní birá a'rí ne ke cho ra'é cho choná		‘que hay muertos en una cueva, pero yo todavía no conocía la cueva’	'because there are dead people in a cave, but I didn't know about the cave yet'		tx223[02_204-02_250].wav
a'rí kinána ko ne ma birá n á iyén cho nénia choná bichíwi níri ne wiká birá bití ochirá ba		‘y poco después fui a conocer la cueva y sí es cierto que hay muchos huesos’	'and shortly thereafter I went to find out about the cave and it is true that there are many bones'		tx223[02_250-02_319].wav
chabé ki'áwam choná ro'ára aré		‘los antiguos los pusieron en esas cuevas (a sus muertos)’	'the ancients put them (their dead) in those caves'		tx223[02_319-02_352].wav
a'rí á birá wikám ch aní aní ápu chimí iyéntiri wichóa ba		‘y a mí me han dicho muchos que van a esa parte a lavar’	'many people have told me that they go to that place to do some washing'		tx223[02_424-02_485].wav
á birá we námo ruá á namúti á ba		‘que escuchan ruidos’	'and they hear noises'		tx223[02_485-02_509].wav
siné ko kinána ko n á birá che cho á iyén chimí túna		‘y una vez después volví otra vez’	'and one time afterwards I went back again'		tx223[02_509-02_556].wav
a'rí ko ti na...na wichóa ti uchúi chu ichó		‘y estábamos lavando otra vez’	'and again we were washing'		tx223[02_556-03_007].wav
a'rí kon man á kíni kúchuwa úa iyéna a'rí go		‘entonces ya fui con mis hijas’	'so I went with my daughters'		tx223[03_007-03_035].wav
échi riká birá aníchino ba aní		‘así se escuchaba’	'that's what it sounded like'		tx223[03_113-03_131].wav
pe birá besá m acháka ikíachino a'rí pe ch...éch oná birá á risochí cho aníchani á ba		‘se escuchó tres campandas y nos dimos cuenta que era en la cueva’	'we heard three chimes and we realized it was in the cave'		tx223[03_131-03_189].wav
a'rí kinána cho á jaré cho chen ruwée cho		‘y poco después les platiqué a otras personas’	'and little after I told other people'		tx223[03_189-03_223].wav
á chikóchi bér á ni á yén cho á námo rú écho aní...échi aní ochoná kapanía anía río ba		‘y también ellos me dijeron que también escuchaban sonar una campana’	'and they as well told me that they also heard a bell ring'		tx223[03_223-03_291].wav
we pu...wa'rú kapaní aníchini ba		‘pues se escuchaba como campana grande’	'well it sounded like a large bell'		tx223[03_291-03_318].wav
píri atí aré pacháka á namúti atiké ré pacháki risochí ba		‘qué habrá adentro en la cueva, puede ser que haya algo’	'what could be inside the cave, there might be something'		tx223[03_396-03_444].wav
we cho ará kúchi ochéram ápu choná bitík...anayáwi échi ke re máo		‘o serán los espíritus de las personas antiguas’	'or it be the spirits of the ancient people'		tx223[03_444-03_497].wav
ke birá ti machí ba		‘no sabemos’	'we don't know'		tx223[03_497-03_512].wav
wem bitiká ré ochirá rú échi riká birá katiwá rúa ruá chabé ko ru pe risochíti rú risochí ru'aríwa ruá chabé ko ru		‘pues en donde quiera hay muchos huesos de muertos, dicen que así los guardaban en cuevas, antes los ponían en cuevas nada más’	'so wherever there are many dead peoples' bones, they say they would store them like that in caves, they would just put them in caves and that's it'		tx223[03_559-04_039].wav
jípi ko ma birá ke cho ro'á jípi ko á korío kaposánto á towáa ba ní		‘ahora ya no los ponen en cuevas, ahora los ponen en el camposanto’	'now they don't put them in caves anymore, now they put them in the cemetery'		tx223[04_039-04_092].wav
...échi ochérami ke re pa píri ko ju aré ke pirám machisáa níra ba		‘pues pienso que son los viejitos, o qué pueda ser porque no se’	'well I think they are the old people, or what might it be? because I don't know'		tx223[04_092-04_144].wav
a'rí mayéwa ré ra		‘y según dicen’	'and as they say'		tx223[04_144-04_176].wav
á birá okám chanía ne ka jémi isimátara ruá chabée		‘muchas personas dicen que por aquí pasaban mucho antes’	'many people say that many would come through here before'		tx223[04_176-04_224].wav
píri ko níra ré oro birá m aniríwa ruéchani tú		‘no puedo saber si era el que le dicen oro, unos dicen’	'I can't know if it that thing they call gold, as some say'		tx223[04_311-04_339].wav
plata sí'i		‘y otros hablan de plata’	'and others talk of silver'		tx223[04_339-04_355].wav
jém bér á isimátara ruá múlachi icheká		‘por aqui pasaban con las mulas cargadas’	'many came through here with mules carrying cargo'		tx223[04_355-04_389].wav
náa ... a'rí jém ka'é birá krílichi ami towáam ruá aré we pi ku pé kabáyochi ichaká towáa ruá boná múlachi ma		‘y dicen que los llevaban a Creel cargados en caballo y en mula’	'and they say that they would take them to Creel loaded on horses and mules.		tx223[04_389-04_503].wav
a'rí mayéwa ré ápu na échi na natibú...natibúsua a'rí pe náa ko...ko'áwa ruá rá suwía ruwá na mi aría ruá és chéti nápu chíri na		‘y piensan que cuando los encontraban (si los encontraban) los mataban, se morían los animales y las personas	'and they think that when they found him (if they found them), they would kill them, the animals and people would die		tx223[04_503-05_029].wav
ko'iwáa ruá i a'rí		‘y entonces los mataban’	'and then they killed them'		tx223[05_076-05_102].wav
échi ke re ma birá m aniwá...m aniwá ma réo ke pirá ti ará machí ba		‘creen que eso es lo que se escucha, pero nadie sabemos bien’	'they believe that's what is heard, but none of us really know'		tx223[05_102-05_150].wav
ábirá chiriká níri ré chabé ko ba		‘pues así sería antes’	'so that's how it was before'		tx223[05_191-05_212].wav
ma pe ke wési itéam ka be échi chírimi ruwá chaní chabé ko ru		‘pues ya no viven ninguno de esos que me platicaban antes’	'but none of those people who used to talk to me before are still living'		tx223[05_259-05_299].wav
biréna mí risochí ba ra'ícha ba		‘pues fue verdad, por eso así me platicaron’	'well it was true, so that's why they told me this'		tx223[05_376-05_400].wav
ma ni ke me wiká náta 		‘ya no me acuerdo de otras’	'I don't remember any others now'		tx223[05_451-05_468].wav
a'rí biré ko bitéela ruwá ba biré náa ... biré ... biré ná ná ... pe tá ... tám ... tám kawíriri he aniríachi aniríachi	uno EMPH habitar.SG-REP decir-MPASS CL uno este uno uno este este nomás chico chico chico cerro-LOC he decir-MPASS-PRS-TEMP yepó decir-MPASS-PRS-TEMP	‘Y dicen que unos vivían en ... en un cerrito (ranchito) que le decían “yepó””	‘And it is said that some lived in ... ina little hill that was called “yepó”’		tx32[00_369-00_518].wav
